Run,Instrument,LibraryLayout,ReleaseDate,AvgSpotLen,BioProject,BioProject_num,Ecotype,Treatment,Tissue
SRR649737,Illumina_HiSeq_2000,SINGLE,2015,100,PRJNA186735,1,not_Col-0,Control,whole_plant
SRR649738,Illumina_HiSeq_2000,SINGLE,2015,100,PRJNA186735,1,not_Col-0,Control,whole_plant
SRR649739,Illumina_HiSeq_2000,SINGLE,2015,100,PRJNA186735,1,not_Col-0,Drought_stress,whole_plant
SRR649740,Illumina_HiSeq_2000,SINGLE,2015,100,PRJNA186735,1,not_Col-0,Drought_stress,whole_plant
SRR649741,Illumina_HiSeq_2000,SINGLE,2015,100,PRJNA186735,1,not_Col-0,Control,whole_plant
SRR649742,Illumina_HiSeq_2000,SINGLE,2015,100,PRJNA186735,1,not_Col-0,Control,whole_plant
SRR649743,Illumina_HiSeq_2000,SINGLE,2015,100,PRJNA186735,1,not_Col-0,Control,whole_plant
SRR649744,Illumina_HiSeq_2000,SINGLE,2015,100,PRJNA186735,1,not_Col-0,Control,whole_plant
SRR649745,Illumina_HiSeq_2000,SINGLE,2015,100,PRJNA186735,1,not_Col-0,Drought_stress,whole_plant
SRR649746,Illumina_HiSeq_2000,SINGLE,2015,100,PRJNA186735,1,not_Col-0,Drought_stress,whole_plant
SRR649747,Illumina_HiSeq_2000,SINGLE,2015,100,PRJNA186735,1,not_Col-0,Drought_stress,whole_plant
ERR1588787,Illumina_HiSeq_2000,PAIRED,2017,102,PRJEB15161,2,not_Col-0,Control,leaf
ERR1588788,Illumina_HiSeq_2000,PAIRED,2017,102,PRJEB15161,2,not_Col-0,Drought_stress,leaf
ERR1588789,Illumina_HiSeq_2000,PAIRED,2017,102,PRJEB15161,2,not_Col-0,Control,leaf
ERR1588790,Illumina_HiSeq_2000,PAIRED,2017,102,PRJEB15161,2,not_Col-0,Drought_stress,leaf
ERR1588791,Illumina_HiSeq_2000,PAIRED,2017,102,PRJEB15161,2,not_Col-0,Control,leaf
ERR1588792,Illumina_HiSeq_2000,PAIRED,2017,102,PRJEB15161,2,not_Col-0,Drought_stress,leaf
ERR1588793,Illumina_HiSeq_2000,PAIRED,2017,102,PRJEB15161,2,not_Col-0,Control,leaf
ERR1588794,Illumina_HiSeq_2000,PAIRED,2017,102,PRJEB15161,2,not_Col-0,Control,leaf
ERR1588795,Illumina_HiSeq_2000,PAIRED,2017,102,PRJEB15161,2,not_Col-0,Drought_stress,leaf
ERR1588796,Illumina_HiSeq_2000,PAIRED,2017,102,PRJEB15161,2,not_Col-0,Drought_stress,leaf
ERR1588797,Illumina_HiSeq_2000,PAIRED,2017,102,PRJEB15161,2,not_Col-0,Control,leaf
