Run	Experiment_Type	Class_Label
ERR3212267	PRJEB31651	
ERR3212268	PRJEB31651	
ERR3212269	PRJEB31651	
ERR3212270	PRJEB31651	
ERR3212271	PRJEB31651	
ERR3212272	PRJEB31651	
ERR3212273	PRJEB31651	1
ERR3212274	PRJEB31651	1
ERR3212275	PRJEB31651	1
ERR3212276	PRJEB31651	1
ERR3212277	PRJEB31651	1
ERR3212278	PRJEB31651	1
ERR3212279	PRJEB31651	1
ERR3212280	PRJEB31651	1
ERR3212281	PRJEB31651	1
ERR3212282	PRJEB31651	1
ERR3212283	PRJEB31651	1
ERR3212284	PRJEB31651	1
ERR3212285	PRJEB31651	0
ERR3212286	PRJEB31651	0
ERR3212287	PRJEB31651	0
ERR3212288	PRJEB31651	0
ERR3212289	PRJEB31651	0
ERR3212290	PRJEB31651	0
ERR3212291	PRJEB31651	0
ERR3212292	PRJEB31651	0
ERR3212293	PRJEB31651	0
ERR3212294	PRJEB31651	0
ERR3212295	PRJEB31651	0
ERR3212296	PRJEB31651	0
ERR3212297	PRJEB31651	0
ERR8015195	PRJEB50145	0
ERR8015196	PRJEB50145	1
ERR8015197	PRJEB50145	1
ERR8015198	PRJEB50145	1
ERR8015199	PRJEB50145	1
ERR8015200	PRJEB50145	1
ERR8015201	PRJEB50145	1
ERR8015202	PRJEB50145	1
ERR8015203	PRJEB50145	1
ERR8015204	PRJEB50145	1
ERR8015205	PRJEB50145	0
ERR8015206	PRJEB50145	0
ERR8015207	PRJEB50145	0
ERR8015208	PRJEB50145	0
ERR8015209	PRJEB50145	0
ERR8015210	PRJEB50145	0
ERR8015211	PRJEB50145	0
ERR8015212	PRJEB50145	0
SRR342059	PRJNA145007	0
SRR342060	PRJNA145007	0
SRR342063	PRJNA145007	1
SRR342065	PRJNA145007	1
SRR342066	PRJNA145007	0
SRR342068	PRJNA145007	1
SRR342061	PRJNA145007	1
SRR342062	PRJNA145007	1
SRR342064	PRJNA145007	1
SRR342067	PRJNA145007	0
SRR342069	PRJNA145007	1
SRR342070	PRJNA145007	1
SRR342071	PRJNA145007	1
SRR342072	PRJNA145007	1
SRR2129982	PRJNA291064	0
SRR2129983	PRJNA291064	1
SRR2129984	PRJNA291064	0
SRR2129985	PRJNA291064	1
SRR2129986	PRJNA291064	0
SRR2129987	PRJNA291064	1
SRR2144382	PRJNA291919	0
SRR2144383	PRJNA291919	0
SRR2144384	PRJNA291919	0
SRR2144385	PRJNA291919	0
SRR2144386	PRJNA291919	0
SRR2144387	PRJNA291919	0
SRR2144388	PRJNA291919	0
SRR2144389	PRJNA291919	0
SRR2144390	PRJNA291919	0
SRR2144391	PRJNA291919	0
SRR2144392	PRJNA291919	0
SRR2144393	PRJNA291919	0
SRR2144394	PRJNA291919	0
SRR2144395	PRJNA291919	0
SRR2144396	PRJNA291919	0
SRR2144397	PRJNA291919	0
SRR2144398	PRJNA291919	0
SRR2144399	PRJNA291919	0
SRR2144400	PRJNA291919	0
SRR2144401	PRJNA291919	0
SRR2144402	PRJNA291919	0
SRR2144403	PRJNA291919	0
SRR2144404	PRJNA291919	0
SRR2144405	PRJNA291919	0
SRR2144406	PRJNA291919	0
SRR2144407	PRJNA291919	0
SRR2144408	PRJNA291919	0
SRR2144409	PRJNA291919	0
SRR2144410	PRJNA291919	0
SRR2144411	PRJNA291919	0
SRR2144412	PRJNA291919	0
SRR2144413	PRJNA291919	0
SRR2144414	PRJNA291919	1
SRR2144415	PRJNA291919	1
SRR2144416	PRJNA291919	1
SRR2144417	PRJNA291919	1
SRR2144418	PRJNA291919	1
SRR2144419	PRJNA291919	1
SRR2144420	PRJNA291919	1
SRR2144421	PRJNA291919	1
SRR2144422	PRJNA291919	1
SRR2144423	PRJNA291919	1
SRR2144424	PRJNA291919	1
SRR2144425	PRJNA291919	1
SRR2144426	PRJNA291919	1
SRR2144427	PRJNA291919	1
SRR2144428	PRJNA291919	1
SRR2144429	PRJNA291919	1
SRR2144430	PRJNA291919	1
SRR2144431	PRJNA291919	1
SRR2144432	PRJNA291919	1
SRR2144433	PRJNA291919	1
SRR2144434	PRJNA291919	1
SRR2144435	PRJNA291919	1
SRR2144436	PRJNA291919	1
SRR2144437	PRJNA291919	1
SRR2144438	PRJNA291919	1
SRR2144439	PRJNA291919	1
SRR2144440	PRJNA291919	1
SRR2144441	PRJNA291919	1
SRR2144442	PRJNA291919	1
SRR2144443	PRJNA291919	1
SRR2144444	PRJNA291919	1
SRR2144445	PRJNA291919	1
SRR2144446	PRJNA291919	0
SRR2144447	PRJNA291919	0
SRR2144448	PRJNA291919	0
SRR2144449	PRJNA291919	0
SRR2144450	PRJNA291919	0
SRR2144451	PRJNA291919	0
SRR2144452	PRJNA291919	0
SRR2144453	PRJNA291919	0
SRR2144454	PRJNA291919	0
SRR2144455	PRJNA291919	0
SRR2144456	PRJNA291919	0
SRR2144457	PRJNA291919	0
SRR2144458	PRJNA291919	0
SRR2144459	PRJNA291919	0
SRR2144460	PRJNA291919	0
SRR2144461	PRJNA291919	1
SRR2144462	PRJNA291919	1
SRR2144463	PRJNA291919	1
SRR2144464	PRJNA291919	1
SRR2144465	PRJNA291919	1
SRR2144466	PRJNA291919	1
SRR2144467	PRJNA291919	1
SRR2144468	PRJNA291919	1
SRR2144469	PRJNA291919	1
SRR2144470	PRJNA291919	1
SRR2144471	PRJNA291919	1
SRR2144472	PRJNA291919	1
SRR2144473	PRJNA291919	1
SRR2144474	PRJNA291919	1
SRR2144475	PRJNA291919	1
SRR5344570	PRJNA378714	1
SRR5344572	PRJNA378714	1
SRR5344622	PRJNA378714	1
SRR5344627	PRJNA378714	
SRR5344453	PRJNA378714	0
SRR5344568	PRJNA378714	0
SRR5344618	PRJNA378714	0
SRR5344620	PRJNA378714	0
SRR5344621	PRJNA378714	0
SRR5344624	PRJNA378714	0
SRR5344625	PRJNA378714	
SRR5344560	PRJNA378714	0
SRR5344571	PRJNA378714	1
SRR5344623	PRJNA378714	0
SRR5358803	PRJNA379712	0
SRR5358804	PRJNA379712	0
SRR5358805	PRJNA379712	0
SRR5358806	PRJNA379712	0
SRR5358807	PRJNA379712	1
SRR5358808	PRJNA379712	1
SRR5358809	PRJNA379712	1
SRR5358810	PRJNA379712	1
SRR5358811	PRJNA379712	0
SRR5358812	PRJNA379712	0
SRR5358813	PRJNA379712	0
SRR5358814	PRJNA379712	0
SRR5358815	PRJNA379712	1
SRR5358816	PRJNA379712	1
SRR5358817	PRJNA379712	1
SRR5358818	PRJNA379712	1
SRR5674375	PRJNA389717	1
SRR5674376	PRJNA389717	1
SRR5674377	PRJNA389717	1
SRR5674378	PRJNA389717	1
SRR5674379	PRJNA389717	1
SRR5674380	PRJNA389717	0
SRR5674381	PRJNA389717	0
SRR5674382	PRJNA389717	0
SRR5674383	PRJNA389717	0
SRR5674384	PRJNA389717	0
SRR5674385	PRJNA389717	0
SRR5674386	PRJNA389717	0
SRR5674387	PRJNA389717	0
SRR5674388	PRJNA389717	0
SRR5674389	PRJNA389717	1
SRR8368655	PRJNA511671	0
SRR8368656	PRJNA511671	0
SRR8368657	PRJNA511671	1
SRR8368658	PRJNA511671	1
SRR8368659	PRJNA511671	1
SRR8368660	PRJNA511671	1
SRR8368661	PRJNA511671	1
SRR8368662	PRJNA511671	1
SRR8368663	PRJNA511671	0
SRR8368664	PRJNA511671	0
SRR8368665	PRJNA511671	1
SRR8368666	PRJNA511671	1
SRR8368667	PRJNA511671	1
SRR8368668	PRJNA511671	1
SRR8368669	PRJNA511671	1
SRR8368670	PRJNA511671	1
SRR9185068	PRJNA545969	0
SRR9185069	PRJNA545969	0
SRR9185070	PRJNA545969	0
SRR9185071	PRJNA545969	0
SRR9185072	PRJNA545969	0
SRR9185073	PRJNA545969	0
SRR9185074	PRJNA545969	1
SRR9185075	PRJNA545969	1
SRR9185076	PRJNA545969	1
SRR9185077	PRJNA545969	1
SRR9185078	PRJNA545969	1
SRR9185079	PRJNA545969	1
SRR10153100	PRJNA573054	0
SRR10153101	PRJNA573054	0
SRR10153102	PRJNA573054	0
SRR10153103	PRJNA573054	0
SRR10153104	PRJNA573054	0
SRR10153105	PRJNA573054	0
SRR10153106	PRJNA573054	0
SRR10153107	PRJNA573054	0
SRR10153108	PRJNA573054	0
SRR10153109	PRJNA573054	0
SRR10153110	PRJNA573054	0
SRR10153111	PRJNA573054	0
SRR10153112	PRJNA573054	1
SRR10153113	PRJNA573054	1
SRR10153114	PRJNA573054	1
SRR10153115	PRJNA573054	1
SRR10153116	PRJNA573054	1
SRR10153117	PRJNA573054	1
SRR10153118	PRJNA573054	1
SRR10153119	PRJNA573054	1
SRR10153120	PRJNA573054	1
SRR10153121	PRJNA573054	1
SRR10153122	PRJNA573054	1
SRR10153123	PRJNA573054	1
SRR11932804	PRJNA637522	1
SRR11932807	PRJNA637522	1
SRR11932813	PRJNA637522	1
SRR11932816	PRJNA637522	1
SRR11932818	PRJNA637522	1
SRR11932820	PRJNA637522	0
SRR11932821	PRJNA637522	1
SRR11932822	PRJNA637522	1
SRR11932824	PRJNA637522	0
SRR11932825	PRJNA637522	1
SRR11932826	PRJNA637522	0
SRR11932828	PRJNA637522	1
SRR11932830	PRJNA637522	1
SRR11932832	PRJNA637522	0
SRR11932834	PRJNA637522	1
SRR11932835	PRJNA637522	1
SRR11932837	PRJNA637522	1
SRR11932840	PRJNA637522	1
SRR11932842	PRJNA637522	1
SRR11932846	PRJNA637522	1
SRR11932847	PRJNA637522	0
SRR11932848	PRJNA637522	0
SRR11932850	PRJNA637522	1
SRR11932853	PRJNA637522	1
SRR11932857	PRJNA637522	1
SRR11932859	PRJNA637522	0
SRR11932861	PRJNA637522	1
SRR11932862	PRJNA637522	0
SRR11932864	PRJNA637522	1
SRR11932865	PRJNA637522	0
SRR11932867	PRJNA637522	1
SRR11932874	PRJNA637522	1
SRR11932878	PRJNA637522	1
SRR11932881	PRJNA637522	1
SRR11932882	PRJNA637522	0
SRR11932885	PRJNA637522	0
SRR11932888	PRJNA637522	0
SRR11932889	PRJNA637522	1
SRR11932892	PRJNA637522	0
SRR11932894	PRJNA637522	1
SRR11932895	PRJNA637522	0
SRR11932898	PRJNA637522	0
SRR11932899	PRJNA637522	1
SRR11932901	PRJNA637522	0
SRR11932903	PRJNA637522	1
SRR11932905	PRJNA637522	1
SRR11932907	PRJNA637522	0
SRR11932910	PRJNA637522	0
SRR11932912	PRJNA637522	1
SRR11932914	PRJNA637522	0
SRR11932916	PRJNA637522	1
SRR11932918	PRJNA637522	1
SRR11932919	PRJNA637522	1
SRR11932922	PRJNA637522	1
SRR11932924	PRJNA637522	1
SRR11932925	PRJNA637522	1
SRR11932926	PRJNA637522	1
SRR11932929	PRJNA637522	1
SRR11932931	PRJNA637522	0
SRR11932933	PRJNA637522	1
SRR11932935	PRJNA637522	1
SRR11932936	PRJNA637522	1
SRR11932938	PRJNA637522	1
SRR11932940	PRJNA637522	1
SRR11932941	PRJNA637522	1
SRR11932943	PRJNA637522	0
SRR11932945	PRJNA637522	1
SRR11932946	PRJNA637522	1
SRR11932948	PRJNA637522	1
SRR11932949	PRJNA637522	0
SRR11932953	PRJNA637522	1
SRR11932955	PRJNA637522	1
SRR11932956	PRJNA637522	0
SRR11932959	PRJNA637522	1
SRR11932961	PRJNA637522	0
SRR11932963	PRJNA637522	1
SRR11932964	PRJNA637522	0
SRR11932967	PRJNA637522	1
SRR11932969	PRJNA637522	1
SRR11932970	PRJNA637522	1
SRR11932972	PRJNA637522	1
SRR11932973	PRJNA637522	1
SRR11932976	PRJNA637522	1
SRR11932977	PRJNA637522	0
SRR11932979	PRJNA637522	1
SRR11932981	PRJNA637522	1
SRR11932983	PRJNA637522	0
SRR11932985	PRJNA637522	1
SRR11932987	PRJNA637522	1
SRR11932988	PRJNA637522	1
SRR11932991	PRJNA637522	1
SRR11932992	PRJNA637522	0
SRR11932994	PRJNA637522	1
SRR11932996	PRJNA637522	0
SRR11932997	PRJNA637522	1
SRR11932998	PRJNA637522	0
SRR11933001	PRJNA637522	0
SRR11933002	PRJNA637522	1
SRR11933005	PRJNA637522	0
SRR11933006	PRJNA637522	1
SRR11933007	PRJNA637522	1
SRR11933009	PRJNA637522	1
SRR11933011	PRJNA637522	0
SRR11933013	PRJNA637522	0
SRR11933016	PRJNA637522	1
SRR11933018	PRJNA637522	0
SRR11933021	PRJNA637522	0
SRR11933022	PRJNA637522	0
SRR11933023	PRJNA637522	1
SRR11933030	PRJNA637522	0
SRR11933031	PRJNA637522	1
SRR11933033	PRJNA637522	1
SRR11933038	PRJNA637522	0
SRR11933039	PRJNA637522	1
SRR11933043	PRJNA637522	1
