Run,Instrument,LibraryLayout,ReleaseDate,AvgSpotLen,BioProject,BioProject_num,Ecotype,Treatment,Tissue,Developmental_stage
ERR3212267,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,,leaf,seedling
ERR3212268,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,,leaf,seedling
ERR3212269,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,,leaf,seedling
ERR3212270,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,,leaf,seedling
ERR3212271,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,,leaf,seedling
ERR3212272,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,,leaf,seedling
ERR3212273,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,252,PRJEB31651,1,RIL89,drought,leaf,seedling
ERR3212274,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,252,PRJEB31651,1,RIL89,drought,leaf,seedling
ERR3212275,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,252,PRJEB31651,1,RIL89,drought,leaf,seedling
ERR3212276,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,drought,leaf,seedling
ERR3212277,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,drought,leaf,seedling
ERR3212278,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,drought,leaf,seedling
ERR3212279,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,252,PRJEB31651,1,RIL89,drought,leaf,seedling
ERR3212280,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,252,PRJEB31651,1,RIL89,drought,leaf,seedling
ERR3212281,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,252,PRJEB31651,1,RIL89,drought,leaf,seedling
ERR3212282,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,drought,leaf,seedling
ERR3212283,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,drought,leaf,seedling
ERR3212284,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,drought,leaf,seedling
ERR3212285,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,252,PRJEB31651,1,RIL89,control,leaf,seedling
ERR3212286,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,252,PRJEB31651,1,RIL89,control,leaf,seedling
ERR3212287,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,252,PRJEB31651,1,RIL89,control,leaf,seedling
ERR3212288,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,control,leaf,seedling
ERR3212289,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,control,leaf,seedling
ERR3212290,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,control,leaf,seedling
ERR3212291,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,252,PRJEB31651,1,RIL89,control,leaf,seedling
ERR3212292,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,252,PRJEB31651,1,RIL89,control,leaf,seedling
ERR3212293,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,252,PRJEB31651,1,RIL89,control,leaf,seedling
ERR3212294,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,control,leaf,seedling
ERR3212295,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,control,leaf,seedling
ERR3212296,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,control,leaf,seedling
ERR3212297,Illumina HiSeq 2500,PAIRED,2023-03-02T00:00:00Z,302,PRJEB31651,1,RIL89,control,leaf,seedling
ERR8015195,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,control,leaf,seedling
ERR8015196,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,drought,leaf,seedling
ERR8015197,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,drought,leaf,seedling
ERR8015198,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,drought,leaf,seedling
ERR8015199,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,drought,leaf,seedling
ERR8015200,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,drought,leaf,seedling
ERR8015201,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,drought,leaf,seedling
ERR8015202,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,drought,leaf,seedling
ERR8015203,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,drought,leaf,seedling
ERR8015204,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,drought,leaf,seedling
ERR8015205,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,control,leaf,seedling
ERR8015206,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,control,leaf,seedling
ERR8015207,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,control,leaf,seedling
ERR8015208,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,control,leaf,seedling
ERR8015209,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,control,leaf,seedling
ERR8015210,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,control,leaf,seedling
ERR8015211,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,control,leaf,seedling
ERR8015212,Illumina HiSeq 4000,PAIRED,2022-03-01T00:00:00Z,300,PRJEB50145,2,Chang7-2t,control,leaf,seedling
SRR342059,Illumina Genome Analyzer,SINGLE,2013-09-05T00:00:00Z,49,PRJNA145007,3,DH4866,control,leaf,seedling
SRR342060,Illumina Genome Analyzer,SINGLE,2013-09-05T00:00:00Z,49,PRJNA145007,3,DH4866,control,leaf,seedling
SRR342063,Illumina Genome Analyzer,SINGLE,2013-09-05T00:00:00Z,49,PRJNA145007,3,DH4866,drought,leaf,seedling
SRR342065,Illumina Genome Analyzer,SINGLE,2013-09-05T00:00:00Z,49,PRJNA145007,3,DH4866,drought,leaf,seedling
SRR342066,Illumina Genome Analyzer,SINGLE,2013-09-05T00:00:00Z,49,PRJNA145007,3,DH4866,control,root,seedling
SRR342068,Illumina Genome Analyzer,SINGLE,2013-09-05T00:00:00Z,49,PRJNA145007,3,DH4866,drought,root,seedling
SRR342061,Illumina Genome Analyzer,SINGLE,2013-09-05T00:00:00Z,49,PRJNA145007,3,DH4866,drought,leaf,seedling
SRR342062,Illumina Genome Analyzer,SINGLE,2013-09-05T00:00:00Z,49,PRJNA145007,3,DH4866,drought,leaf,seedling
SRR342064,Illumina Genome Analyzer,SINGLE,2013-09-05T00:00:00Z,49,PRJNA145007,3,DH4866,drought,leaf,seedling
SRR342067,Illumina Genome Analyzer,SINGLE,2013-09-05T00:00:00Z,49,PRJNA145007,3,DH4866,control,root,seedling
SRR342069,Illumina Genome Analyzer,SINGLE,2013-09-05T00:00:00Z,49,PRJNA145007,3,DH4866,drought,root,seedling
SRR342070,Illumina Genome Analyzer,SINGLE,2013-09-05T00:00:00Z,49,PRJNA145007,3,DH4866,drought,root,seedling
SRR342071,Illumina Genome Analyzer,SINGLE,2013-09-05T00:00:00Z,49,PRJNA145007,3,DH4866,drought,root,seedling
SRR342072,Illumina Genome Analyzer,SINGLE,2013-09-05T00:00:00Z,49,PRJNA145007,3,DH4866,drought,root,seedling
SRR536836,Illumina Genome Analyzer IIx,SINGLE,2015-07-22T00:00:00Z,76,PRJNA172724,4,B73,drought,floral,reproductive
SRR536837,Illumina Genome Analyzer IIx,SINGLE,2015-07-22T00:00:00Z,76,PRJNA172724,4,B73,drought,floral,reproductive
SRR536840,Illumina Genome Analyzer IIx,SINGLE,2015-07-22T00:00:00Z,76,PRJNA172724,4,B73,drought,leaf,vegetative
SRR536841,Illumina Genome Analyzer IIx,SINGLE,2015-07-22T00:00:00Z,76,PRJNA172724,4,B73,drought,leaf,vegetative
SRR925465,Illumina Genome Analyzer II,SINGLE,2014-08-08T00:00:00Z,75,PRJNA210356,5,B73,drought,leaf,seedling
SRR925466,Illumina Genome Analyzer II,SINGLE,2014-08-08T00:00:00Z,76,PRJNA210356,5,B73,drought,leaf,seedling
SRR925467,Illumina Genome Analyzer II,SINGLE,2014-08-08T00:00:00Z,75,PRJNA210356,5,B73,drought,leaf,seedling
SRR925468,Illumina Genome Analyzer II,SINGLE,2014-08-08T00:00:00Z,76,PRJNA210356,5,B73,drought,leaf,seedling
SRR1788792,Illumina HiSeq 1000,PAIRED,2015-03-26T00:00:00Z,250,PRJNA274333,7,ZmUbi:ZmNAC111,drought,seedling,seedling
SRR1788793,Illumina HiSeq 1000,PAIRED,2015-03-26T00:00:00Z,250,PRJNA274333,7,ZmUbi:ZmNAC111,control,seedling,seedling
SRR1788794,Illumina HiSeq 1000,PAIRED,2015-03-26T00:00:00Z,250,PRJNA274333,7,ZmUbi:ZmNAC111,drought,seedling,seedling
SRR1788805,Illumina HiSeq 1000,PAIRED,2015-03-26T00:00:00Z,250,PRJNA274333,7,ZmUbi:ZmNAC111,control,seedling,seedling
SRR1788806,Illumina HiSeq 1000,PAIRED,2015-03-26T00:00:00Z,250,PRJNA274333,7,ZmUbi:ZmNAC111,drought,seedling,seedling
SRR1785762,Illumina HiSeq 1000,PAIRED,2015-03-26T00:00:00Z,250,PRJNA274333,7,ZmUbi:ZmNAC111,control,seedling,seedling
SRR2043220,Illumina HiSeq 2000,SINGLE,2016-12-01T00:00:00Z,88,PRJNA284670,8,B73,drought,root,seedling
SRR2043226,Illumina HiSeq 2000,SINGLE,2016-12-01T00:00:00Z,89,PRJNA284670,8,B73,drought,root,seedling
SRR2043227,Illumina HiSeq 2000,SINGLE,2016-12-01T00:00:00Z,88,PRJNA284670,8,B73,drought,root,seedling
SRR2043228,Illumina HiSeq 2000,SINGLE,2016-12-01T00:00:00Z,90,PRJNA284670,8,B73,drought,root,seedling
SRR2043349,Illumina HiSeq 2000,SINGLE,2016-12-01T00:00:00Z,89,PRJNA284670,8,Mo17,drought,root,seedling
SRR2043361,Illumina HiSeq 2000,SINGLE,2016-12-01T00:00:00Z,89,PRJNA284670,8,Mo17,drought,root,seedling
SRR2043375,Illumina HiSeq 2000,SINGLE,2016-12-01T00:00:00Z,88,PRJNA284670,8,Mo17,drought,root,seedling
SRR2043376,Illumina HiSeq 2000,SINGLE,2016-12-01T00:00:00Z,90,PRJNA284670,8,Mo17,drought,root,seedling
SRR2043381,Illumina HiSeq 2000,SINGLE,2016-12-01T00:00:00Z,89,PRJNA284670,8,B73xMo17,drought,root,seedling
SRR2043382,Illumina HiSeq 2000,SINGLE,2016-12-01T00:00:00Z,90,PRJNA284670,8,B73xMo17,drought,root,seedling
SRR2043383,Illumina HiSeq 2000,SINGLE,2016-12-01T00:00:00Z,88,PRJNA284670,8,B73xMo17,drought,root,seedling
SRR2043384,Illumina HiSeq 2000,SINGLE,2016-12-01T00:00:00Z,90,PRJNA284670,8,B73xMo17,drought,root,seedling
SRR2043390,Illumina HiSeq 2000,SINGLE,2016-12-01T00:00:00Z,89,PRJNA284670,8,Mo17xB73,drought,root,seedling
SRR2043391,Illumina HiSeq 2000,SINGLE,2016-12-01T00:00:00Z,90,PRJNA284670,8,Mo17xB73,drought,root,seedling
SRR2043392,Illumina HiSeq 2000,SINGLE,2016-12-01T00:00:00Z,88,PRJNA284670,8,Mo17xB73,drought,root,seedling
SRR2043393,Illumina HiSeq 2000,SINGLE,2016-12-01T00:00:00Z,90,PRJNA284670,8,Mo17xB73,drought,leaf,vegetative
SRR2106181,Illumina HiSeq 2000,SINGLE,2016-01-14T00:00:00Z,50,PRJNA290180,9,B73 wt,drought,leaf,vegetative
SRR2106183,Illumina HiSeq 2000,SINGLE,2016-01-14T00:00:00Z,50,PRJNA290180,9,B73 wt,drought,leaf,vegetative
SRR2106185,Illumina HiSeq 2000,SINGLE,2016-01-14T00:00:00Z,50,PRJNA290180,9,B73 wt,drought,leaf,vegetative
SRR2106187,Illumina HiSeq 2000,SINGLE,2016-01-14T00:00:00Z,50,PRJNA290180,9,B73 wt,drought,leaf,vegetative
SRR2106189,Illumina HiSeq 2000,SINGLE,2016-01-14T00:00:00Z,50,PRJNA290180,9,rmr6-1 mutant,drought,leaf,vegetative
