Run	Experiment_Type	Class_Label
DRR006570	PRJDB2600	0
DRR006571	PRJDB2600	1
DRR006572	PRJDB2600	1
DRR006573	PRJDB2600	1
DRR006574	PRJDB2600	0
DRR006575	PRJDB2600	1
DRR006576	PRJDB2600	1
DRR006577	PRJDB2600	1
DRR006578	PRJDB2600	1
DRR006687	PRJDB2600	0
DRR006688	PRJDB2600	1
DRR006689	PRJDB2600	1
DRR006690	PRJDB2600	1
DRR006691	PRJDB2600	1
DRR006692	PRJDB2600	0
DRR006693	PRJDB2600	1
DRR006694	PRJDB2600	1
DRR006695	PRJDB2600	1
DRR006710	PRJDB2600	1
DRR006711	PRJDB2600	1
DRR006712	PRJDB2600	1
DRR006747	PRJDB2600	1
DRR006748	PRJDB2600	1
DRR006749	PRJDB2600	1
DRR006750	PRJDB2600	1
DRR006751	PRJDB2600	1
ERR2022918	PRJEB21620	0
ERR2022919	PRJEB21620	1
ERR2022920	PRJEB21620	0
ERR2022921	PRJEB21620	1
ERR2851477	PRJEB29280	1
ERR2851478	PRJEB29280	1
ERR2851479	PRJEB29280	1
ERR2851480	PRJEB29280	1
ERR2851481	PRJEB29280	1
ERR2851482	PRJEB29280	1
ERR2851483	PRJEB29280	1
ERR2851484	PRJEB29280	1
ERR2851485	PRJEB29280	1
ERR2851486	PRJEB29280	1
ERR2851487	PRJEB29280	1
ERR2851488	PRJEB29280	1
ERR2851489	PRJEB29280	0
ERR2851490	PRJEB29280	0
ERR2851491	PRJEB29280	0
ERR2851492	PRJEB29280	0
ERR2851493	PRJEB29280	0
ERR2851494	PRJEB29280	0
ERR2851495	PRJEB29280	0
ERR2851496	PRJEB29280	0
ERR2851497	PRJEB29280	0
ERR2851498	PRJEB29280	0
ERR2851499	PRJEB29280	0
ERR2851500	PRJEB29280	0
ERR2851501	PRJEB29280	0
ERR2851502	PRJEB29280	0
ERR2851503	PRJEB29280	0
ERR2851504	PRJEB29280	0
ERR2851505	PRJEB29280	0
ERR2851506	PRJEB29280	0
ERR6672228	PRJEB47431	0
ERR6676318	PRJEB47431	0
ERR6682989	PRJEB47431	0
ERR6683246	PRJEB47431	0
ERR6683416	PRJEB47431	0
ERR6683418	PRJEB47431	0
ERR6683509	PRJEB47431	1
ERR6683510	PRJEB47431	1
ERR6683511	PRJEB47431	1
ERR6683638	PRJEB47431	1
ERR6683639	PRJEB47431	0
ERR6683640	PRJEB47431	0
ERR6683659	PRJEB47431	0
ERR6683671	PRJEB47431	0
ERR6683674	PRJEB47431	1
ERR6683675	PRJEB47431	1
ERR6683679	PRJEB47431	0
ERR6683682	PRJEB47431	0
ERR6683683	PRJEB47431	1
ERR6683685	PRJEB47431	1
ERR6683686	PRJEB47431	1
ERR6683688	PRJEB47431	1
ERR6683689	PRJEB47431	0
ERR6683690	PRJEB47431	0
ERR6683691	PRJEB47431	0
ERR6683692	PRJEB47431	0
ERR6683693	PRJEB47431	1
ERR6683694	PRJEB47431	1
ERR6683795	PRJEB47431	1
ERR6684041	PRJEB47431	0
ERR6684044	PRJEB47431	1
ERR6684047	PRJEB47431	1
ERR6688834	PRJEB47431	1
ERR6688835	PRJEB47431	1
ERR6688836	PRJEB47431	1
ERR6688916	PRJEB47431	0
SRR1298428	PRJNA248474	0
SRR1298429	PRJNA248474	0
SRR1298430	PRJNA248474	0
SRR1298431	PRJNA248474	0
SRR1298432	PRJNA248474	0
SRR1298433	PRJNA248474	0
SRR1298434	PRJNA248474	1
SRR1298435	PRJNA248474	1
SRR1298436	PRJNA248474	1
SRR1298437	PRJNA248474	1
SRR1298438	PRJNA248474	1
SRR1298439	PRJNA248474	1
SRR1298440	PRJNA248474	1
SRR1298441	PRJNA248474	1
SRR1298442	PRJNA248474	1
SRR1298443	PRJNA248474	1
SRR1298444	PRJNA248474	1
SRR1298445	PRJNA248474	1
SRR1761528	PRJNA272723	1
SRR1761529	PRJNA272723	1
SRR1761530	PRJNA272723	0
SRR1761531	PRJNA272723	0
SRR1761788	PRJNA272732	1
SRR1761789	PRJNA272732	1
SRR1761790	PRJNA272732	0
SRR1761791	PRJNA272732	0
SRR1761792	PRJNA272732	1
SRR1761793	PRJNA272732	1
SRR1761794	PRJNA272732	0
SRR1761795	PRJNA272732	0
SRR1761780	PRJNA272733	1
SRR1761781	PRJNA272733	1
SRR1761782	PRJNA272733	0
SRR1761783	PRJNA272733	0
SRR1761784	PRJNA272733	1
SRR1761785	PRJNA272733	1
SRR1761786	PRJNA272733	0
SRR1761787	PRJNA272733	0
SRR2857719	PRJNA300502	0
SRR2857720	PRJNA300502	1
SRR2857721	PRJNA300502	1
SRR2857722	PRJNA300502	0
SRR2857723	PRJNA300502	1
SRR2857724	PRJNA300502	1
SRR2857725	PRJNA300502	0
SRR2857726	PRJNA300502	1
SRR2857727	PRJNA300502	1
SRR9129779	PRJNA306542	1
SRR9129783	PRJNA306542	1
SRR9129786	PRJNA306542	1
SRR9129787	PRJNA306542	1
SRR9129788	PRJNA306542	1
SRR9129804	PRJNA306542	1
SRR9129814	PRJNA306542	1
SRR9129815	PRJNA306542	1
SRR9129816	PRJNA306542	1
SRR9129817	PRJNA306542	1
SRR9129820	PRJNA306542	1
SRR9129823	PRJNA306542	1
SRR9129824	PRJNA306542	1
SRR9129826	PRJNA306542	1
