Run	BioProject	Treatment	Tissue	Genotype
DRR006570	PRJDB2600	Control		
DRR006571	PRJDB2600	Drought		
DRR006572	PRJDB2600	Drought		
DRR006573	PRJDB2600	Drought		
DRR006574	PRJDB2600	Control		
DRR006575	PRJDB2600	Drought		
DRR006576	PRJDB2600	Drought		
DRR006577	PRJDB2600	Drought		
DRR006578	PRJDB2600	Drought		
DRR006687	PRJDB2600	Control		
DRR006688	PRJDB2600	Drought		
DRR006689	PRJDB2600	Drought		
DRR006690	PRJDB2600	Drought		
DRR006691	PRJDB2600	Drought		
DRR006692	PRJDB2600	Control		
DRR006693	PRJDB2600	Drought		
DRR006694	PRJDB2600	Drought		
DRR006695	PRJDB2600	Drought		
DRR006710	PRJDB2600	Drought		
DRR006711	PRJDB2600	Drought		
DRR006712	PRJDB2600	Drought		
DRR006747	PRJDB2600	Drought		
DRR006748	PRJDB2600	Drought		
DRR006749	PRJDB2600	Drought		
DRR006750	PRJDB2600	Drought		
DRR006751	PRJDB2600	Drought		
ERR2022918	PRJEB21620	Control	Leaf	MR219
ERR2022919	PRJEB21620	Drought	Leaf	MR219
ERR2022920	PRJEB21620	Control	Leaf	MR276
ERR2022921	PRJEB21620	Drought	Leaf	MR276
ERR2851477	PRJEB29280	Drought	Vascular leaf	Nagina22
ERR2851478	PRJEB29280	Drought	Vascular leaf	Nagina22
ERR2851479	PRJEB29280	Drought	Vascular leaf	Nagina22
ERR2851480	PRJEB29280	Drought	Vascular leaf	Nagina22
ERR2851481	PRJEB29280	Drought	Vascular leaf	Nagina22
ERR2851482	PRJEB29280	Drought	Vascular leaf	Nagina22
ERR2851483	PRJEB29280	Drought	Vascular leaf	Nonabokra
ERR2851484	PRJEB29280	Drought	Vascular leaf	Nonabokra
ERR2851485	PRJEB29280	Drought	Vascular leaf	Nonabokra
ERR2851486	PRJEB29280	Drought	Vascular leaf	Nonabokra
ERR2851487	PRJEB29280	Drought	Vascular leaf	Nonabokra
ERR2851488	PRJEB29280	Drought	Vascular leaf	Nonabokra
ERR2851489	PRJEB29280	Control	Vascular leaf	Nagina22
ERR2851490	PRJEB29280	Control	Vascular leaf	Nagina22
ERR2851491	PRJEB29280	Control	Vascular leaf	Nagina22
ERR2851492	PRJEB29280	Control	Vascular leaf	Nagina22
ERR2851493	PRJEB29280	Control	Vascular leaf	Nagina22
ERR2851494	PRJEB29280	Control	Vascular leaf	Nagina22
ERR2851495	PRJEB29280	Control	Vascular leaf	Nagina22
ERR2851496	PRJEB29280	Control	Vascular leaf	Nagina22
ERR2851497	PRJEB29280	Control	Vascular leaf	Nagina22
ERR2851498	PRJEB29280	Control	Vascular leaf	Nonabokra
ERR2851499	PRJEB29280	Control	Vascular leaf	Nonabokra
ERR2851500	PRJEB29280	Control	Vascular leaf	Nonabokra
ERR2851501	PRJEB29280	Control	Vascular leaf	Nonabokra
ERR2851502	PRJEB29280	Control	Vascular leaf	Nonabokra
ERR2851503	PRJEB29280	Control	Vascular leaf	Nonabokra
ERR2851504	PRJEB29280	Control	Vascular leaf	Nonabokra
ERR2851505	PRJEB29280	Control	Vascular leaf	Nonabokra
ERR2851506	PRJEB29280	Control	Vascular leaf	Nonabokra
ERR6672228	PRJEB47431	Control	Inflorescence	
ERR6676318	PRJEB47431	Control	Inflorescence	
ERR6682989	PRJEB47431	Control	Inflorescence	
ERR6683246	PRJEB47431	Control	Flag leaf	
ERR6683416	PRJEB47431	Control	Flag leaf	
ERR6683418	PRJEB47431	Control	Flag leaf	
ERR6683509	PRJEB47431	Drought	Flag leaf	
ERR6683510	PRJEB47431	Drought	Flag leaf	
ERR6683511	PRJEB47431	Drought	Flag leaf	
ERR6683638	PRJEB47431	Drought	Root	
ERR6683639	PRJEB47431	Control	Root	
ERR6683640	PRJEB47431	Control	Root	
ERR6683659	PRJEB47431	Control	Root	
ERR6683671	PRJEB47431	Control	Flag leaf	
ERR6683674	PRJEB47431	Drought	Root	
ERR6683675	PRJEB47431	Drought	Root	
ERR6683679	PRJEB47431	Control	Flag leaf	
ERR6683682	PRJEB47431	Control	Flag leaf	
ERR6683683	PRJEB47431	Drought	Flag leaf	
ERR6683685	PRJEB47431	Drought	Flag leaf	
ERR6683686	PRJEB47431	Drought	Flag leaf	
ERR6683688	PRJEB47431	Drought	Root	
ERR6683689	PRJEB47431	Control	Inflorescence	
ERR6683690	PRJEB47431	Control	Inflorescence	
ERR6683691	PRJEB47431	Control	Inflorescence	
ERR6683692	PRJEB47431	Control	Root	
ERR6683693	PRJEB47431	Drought	Inflorescence	
ERR6683694	PRJEB47431	Drought	Inflorescence	
ERR6683795	PRJEB47431	Drought	Inflorescence	
ERR6684041	PRJEB47431	Control	Root	
ERR6684044	PRJEB47431	Drought	Root	
ERR6684047	PRJEB47431	Drought	Root	
ERR6688834	PRJEB47431	Drought	Inflorescence	
ERR6688835	PRJEB47431	Drought	Inflorescence	
ERR6688836	PRJEB47431	Drought	Inflorescence	
ERR6688916	PRJEB47431	Control	Root	
SRR1298428	PRJNA248474	Control	Leaf	
SRR1298429	PRJNA248474	Control	Leaf	
SRR1298430	PRJNA248474	Control	Leaf	
SRR1298431	PRJNA248474	Control	Leaf	
SRR1298432	PRJNA248474	Control	Leaf	
SRR1298433	PRJNA248474	Control	Leaf	
SRR1298434	PRJNA248474	Drought	Leaf	
SRR1298435	PRJNA248474	Drought	Leaf	
SRR1298436	PRJNA248474	Drought	Leaf	
