Species	SRA	Percent
Arabidopsis	ERR1588879	87.06
Arabidopsis	ERR1588790	85.90
Arabidopsis	ERR1588886	85.90
Arabidopsis	SRR15294178	84.91
Arabidopsis	SRR15294159	84.67
Arabidopsis	ERR1588821	84.56
Arabidopsis	SRR7779220	84.31
Arabidopsis	SRR15294150	84.21
Arabidopsis	ERR1588924	84.16
Arabidopsis	SRR7779221	84.11
Arabidopsis	SRR15294166	84.02
Arabidopsis	SRR15294134	83.75
Arabidopsis	SRR7056267	83.67
Arabidopsis	ERR1588793	83.65
Arabidopsis	ERR1588818	83.63
Arabidopsis	SRR15294162	83.62
Arabidopsis	SRR15294138	83.59
Arabidopsis	SRR15294154	83.53
Arabidopsis	SRR7056268	83.50
Arabidopsis	SRR15294163	83.44
Arabidopsis	SRR7056260	83.40
Arabidopsis	ERR1588794	83.31
Arabidopsis	SRR7779226	83.30
Arabidopsis	ERR1588838	83.19
Arabidopsis	SRR7779227	83.19
Arabidopsis	DRR221902	83.17
Arabidopsis	SRR7779222	83.11
Arabidopsis	SRR7056261	83.07
Arabidopsis	SRR15294135	83.05
Arabidopsis	SRR2989686	83.04
Arabidopsis	SRR15294142	83.00
Arabidopsis	SRR2989687	82.99
Arabidopsis	ERR1589001	82.99
Arabidopsis	SRR15294170	82.98
Arabidopsis	SRR7056263	82.97
Arabidopsis	DRR221901	82.95
Arabidopsis	SRR7056266	82.94
Arabidopsis	SRR7779223	82.94
Arabidopsis	SRR2989685	82.89
Arabidopsis	SRR7056269	82.87
Arabidopsis	DRR221913	82.84
Arabidopsis	SRR6008905	82.76
Arabidopsis	SRR7056270	82.76
Arabidopsis	DRR221912	82.74
Arabidopsis	SRR6008656	82.71
Arabidopsis	DRR221906	82.65
Arabidopsis	DRR118344	82.61
Arabidopsis	SRR15294143	82.57
Arabidopsis	SRR7056265	82.56
Arabidopsis	SRR2989688	82.53
Arabidopsis	SRR921313	82.52
Arabidopsis	DRR221907	82.52
Arabidopsis	DRR221914	82.50
Arabidopsis	DRR221905	82.46
Arabidopsis	SRR7779224	82.42
Arabidopsis	DRR118343	82.41
Arabidopsis	ERR1588873	82.39
Arabidopsis	SRR7056271	82.38
Arabidopsis	DRR221904	82.27
Arabidopsis	SRR3371339	82.22
Arabidopsis	DRR221911	82.22
Arabidopsis	SRR3371352	82.17
Arabidopsis	SRR15294147	82.03
Arabidopsis	ERR2688148	82.02
Arabidopsis	SRR3383419	82.00
Arabidopsis	SRR921314	81.99
Arabidopsis	SRR3371307	81.99
Arabidopsis	SRR3383642	81.99
Arabidopsis	SRR3383824	81.85
Arabidopsis	DRR221903	81.84
Arabidopsis	DRR149036	81.81
Arabidopsis	SRR7056264	81.80
Arabidopsis	SRR3371298	81.73
Arabidopsis	SRR3371294	81.72
Arabidopsis	SRR3383420	81.70
Arabidopsis	DRR221910	81.70
Arabidopsis	ERR1588994	81.69
Arabidopsis	DRR118345	81.63
Arabidopsis	ERR1589013	81.62
Arabidopsis	DRR221909	81.60
Arabidopsis	ERR1588941	81.59
Arabidopsis	SRR3383839	81.56
Arabidopsis	ERR1588997	81.51
Arabidopsis	SRR3371335	81.48
Arabidopsis	SRR3371337	81.45
Arabidopsis	DRR118346	81.44
Arabidopsis	SRR3371353	81.41
Arabidopsis	SRR3371310	81.41
Arabidopsis	SRR7779228	81.28
Arabidopsis	SRR3371306	81.26
Arabidopsis	SRR7779225	81.25
Arabidopsis	SRR2989698	81.24
Arabidopsis	SRR3371293	81.24
Arabidopsis	SRR3383829	81.23
Arabidopsis	DRR221916	81.21
Arabidopsis	SRR15294146	81.20
Arabidopsis	SRR3993533	81.20
Arabidopsis	ERR1588789	81.11
Arabidopsis	DRR221915	81.09
Arabidopsis	ERR1025342	81.08
Arabidopsis	SRR3371326	81.08
Arabidopsis	ERR1025341	81.07
Arabidopsis	SRR15294139	81.07
Arabidopsis	SRR2989697	81.06
Arabidopsis	DRR221908	81.06
Arabidopsis	SRR3371356	81.00
Arabidopsis	ERR1025340	81.00
Arabidopsis	ERR1025344	80.99
Arabidopsis	SRR15294174	80.93
Arabidopsis	SRR3371354	80.91
Arabidopsis	SRR3371295	80.90
Arabidopsis	SRR7779229	80.89
Arabidopsis	SRR12380979	80.88
Arabidopsis	ERR1588813	80.88
Arabidopsis	SRR3371308	80.86
Arabidopsis	SRR3371301	80.85
Arabidopsis	SRR3371311	80.82
Arabidopsis	SRR3993532	80.81
